Date,Opening,High,Low,Closing,Momentum,Range,ohlc,usa_cpi,pol_cpi,usa_inter,pol_inter
2010.11.15,2.8798328042328087,2.8879,2.8701,2.8798214285714288,1.1375661379986468e-05,0.01780000000000026,2.879413558201059,1.143161,2.7,2.76,5.82
2010.11.16,2.8847514285714317,2.8941,2.8741,2.8847444537815097,6.974789922065128e-06,0.020000000000000018,2.8844239705882355,1.143161,2.7,2.76,5.82
2010.11.17,2.922486568386571,2.9499,2.8787,2.9225261261261277,-3.9557739556883575e-05,0.07120000000000015,2.9184031736281746,1.143161,2.7,2.76,5.82
2010.11.18,2.924881324876674,2.9462,2.9071,2.9248659619450343,1.5362931639728572e-05,0.03910000000000036,2.925761821705427,1.143161,2.7,2.76,5.82
2010.11.19,2.889930056179783,2.9105,2.8762,2.8899187500000068,1.130617977640469e-05,0.0343,2.891637201544947,1.143161,2.7,2.76,5.82
2010.11.21,2.878479921259845,2.8909,2.8659,2.8784694881889794,1.0433070865456529e-05,0.02499999999999991,2.878437352362206,1.143161,2.7,2.76,5.82
2010.11.22,2.864520746887967,2.8703,2.8601,2.8644883817427416,3.236514522564349e-05,0.010199999999999765,2.8648522821576776,1.143161,2.7,2.76,5.82
2010.11.23,2.8971360894941673,2.913,2.860800,2.8971800583657537,-4.396887158630847e-05,0.052200000000000024,2.89202903696498,1.143161,2.7,2.76,5.82
2010.11.24,2.9462239740820753,2.9807,2.8984,2.9462773218142595,-5.334773218423905e-05,0.08230000000000004,2.942900323974084,1.143161,2.7,2.76,5.82
2010.11.25,2.969765398167724,2.9964,2.9466,2.9697663143058493,-9.161381253619538e-07,0.049799999999999844,2.9706329281183934,1.143161,2.7,2.76,5.82
2010.11.26,2.9796263477600666,2.9933,2.9659,2.979630903568729,-4.55580866232097e-06,0.02740000000000009,2.979614312832199,1.143161,2.7,2.76,5.82
2010.11.28,3.031655956678702,3.0532,2.9841,3.0317244283995195,-6.84717208176977e-05,0.06909999999999972,3.025170096269555,1.143161,2.7,2.76,5.82
2010.11.29,3.0479,3.047900,3.047900,3.0479,0.0,0.0,3.0479,1.143161,2.7,2.76,5.82
2010.11.30,3.096770567786788,3.1387,3.0264,3.0968520278099643,-8.146002317621637e-05,0.11229999999999984,3.089680648899188,1.143161,2.7,2.76,5.82
2010.12.01,3.1028109528049863,3.1398,3.0836,3.1028040961709684,6.8566340178932705e-06,0.05620000000000003,3.107253762243989,1.495723,3.1,3.29,5.98
2010.12.02,3.0624151909722186,3.0932,3.0402,3.062373784722225,4.1406249993602984e-05,0.052999999999999936,3.064547243923611,1.495723,3.1,3.29,5.98
2010.12.03,3.027721338506297,3.0825,3.0101,3.027719204655667,2.133850629970624e-06,0.07240000000000002,3.0370101357904913,1.495723,3.1,3.29,5.98
2010.12.05,3.001594522144525,3.028,2.9597,3.00151491841492,7.960372960491569e-05,0.0682999999999998,2.997702360139861,1.495723,3.1,3.29,5.98
2010.12.06,2.9758609065155817,2.985,2.9657,2.975879886685549,-1.898016996726426e-05,0.019299999999999873,2.9756101983002825,1.495723,3.1,3.29,5.98
2010.12.07,3.010864883955606,3.0365,2.9707,3.010902018163477,-3.7134207871325486e-05,0.0658000000000003,3.007241725529771,1.495723,3.1,3.29,5.98
2010.12.08,3.018371228070173,3.0466,2.9893,3.0183980350877144,-2.680701754131931e-05,0.05730000000000013,3.018167315789472,1.495723,3.1,3.29,5.98
2010.12.09,3.051313000000001,3.0798,3.0264,3.0513027500000014,1.0249999999434323e-05,0.05339999999999989,3.0522039375000007,1.495723,3.1,3.29,5.98
2010.12.10,3.046888966588966,3.0656,3.0203,3.046905982905983,-1.7016317017226612e-05,0.045299999999999674,3.0449237373737374,1.495723,3.1,3.29,5.98
2010.12.12,3.045307661691545,3.0617,3.0311,3.045338308457715,-3.0646766170150386e-05,0.030600000000000183,3.0458614925373153,1.495723,3.1,3.29,5.98
2010.12.13,3.0542230964466985,3.0571,3.0506,3.054238578680202,-1.548223350367195e-05,0.00649999999999995,3.0540404187817254,1.495723,3.1,3.29,5.98
2010.12.14,3.007538570417552,3.0598,2.9738,3.007486907289456,5.1663128096013367e-05,0.08599999999999985,3.0121563694267524,1.495723,3.1,3.29,5.98
2010.12.15,2.976235911994323,2.9903,2.9525,2.976234350603265,1.5613910582246149e-06,0.037799999999999834,2.973817565649397,1.495723,3.1,3.29,5.98
2010.12.16,3.0014754249291786,3.0229,2.9725,3.0015101983002843,-3.4773371105689677e-05,0.05039999999999978,2.999596405807366,1.495723,3.1,3.29,5.98
2010.12.17,3.0104369611307424,3.0302,2.9963,3.0104277031802105,9.257950531971204e-06,0.0338999999999996,3.011841166077738,1.495723,3.1,3.29,5.98
2010.12.19,3.0090916749256635,3.0428,2.9797,3.009103369672938,-1.1694747274582085e-05,0.06310000000000038,3.01017376114965,1.495723,3.1,3.29,5.98
2010.12.20,3.0324250626566442,3.039,3.0252,3.032444862155389,-1.9799498744976773e-05,0.013800000000000257,3.032267481203008,1.495723,3.1,3.29,5.98
2010.12.21,3.040326300578039,3.0565,3.0234,3.04032326589595,3.0346820891757886e-06,0.03310000000000013,3.0401373916184973,1.495723,3.1,3.29,5.98
2010.12.22,3.043216678596985,3.0598,3.0233,3.0432196850393685,-3.0064423834907927e-06,0.0365000000000002,3.0423840909090885,1.495723,3.1,3.29,5.98
