Date,Opening,High,Low,Closing,Momentum,Range,ohlc
2010.02.19,1.3554603706343573,1.3654,1.3442,1.3554640057020695,-3.635067712171036e-06,0.021199999999999886,1.3551310940841066
2010.02.21,1.3521625620655393,1.3617,1.3455,1.3521773584905667,-1.4796425027441273e-05,0.016199999999999992,1.3528849801390264
2010.02.22,1.3631114503816786,1.3653,1.3601,1.363121119592875,-9.669211196383642e-06,0.005199999999999871,1.3629081424936385
2010.02.23,1.3605503340757235,1.364,1.3574,1.3605579064587976,-7.572383074139211e-06,0.006600000000000161,1.3606270601336303
2010.02.24,1.356376551226551,1.3691,1.3496,1.356370418470417,6.132756134036299e-06,0.019500000000000073,1.3578617424242418
2010.02.25,1.35348229700073,1.3625,1.345,1.3534795903438162,2.706656913931127e-06,0.01750000000000007,1.3536154718361364
2010.02.26,1.3517636428571402,1.3603,1.3456,1.3517770000000007,-1.3357142860437321e-05,0.014700000000000157,1.3523601607142854
2010.02.28,1.3598770377733607,1.3682,1.3549,1.3598870775347895,-1.0039761428881633e-05,0.01330000000000009,1.3607160288270377
2010.03.01,1.361818298969073,1.3649,1.359,1.3618041237113394,1.4175257733617386e-05,0.005900000000000016,1.3618806056701032
2010.03.02,1.355732064421671,1.3652,1.3459,1.355727745241584,4.319180087142271e-06,0.019299999999999873,1.3556399524158138
2010.03.03,1.3571798111837345,1.3652,1.3436,1.3571876543209886,-7.843137254104349e-06,0.021600000000000064,1.3557918663761805
2010.03.04,1.367035923753663,1.3735,1.3591,1.3670412023460377,-5.278592374757807e-06,0.014399999999999968,1.366669281524925
2010.03.05,1.3618208454810494,1.3693,1.355,1.3618139212827978,6.924198251656577e-06,0.01429999999999998,1.3619836916909618
2010.03.07,1.359315544041456,1.3629,1.3529,1.3593238341968985,-8.290155442569613e-06,0.010000000000000009,1.3586098445595884
2010.03.08,1.3661626984126993,1.369,1.3624,1.366184126984127,-2.142857142772847e-05,0.006599999999999939,1.3659367063492065
2010.03.09,1.3644541381928632,1.3702,1.3604,1.3644507213363726,3.416856490634501e-06,0.009800000000000031,1.364876214882309
2010.03.10,1.358965156017832,1.3627,1.3536,1.3589658989598803,-7.429420483262561e-07,0.009100000000000108,1.3585577637444282
2010.03.11,1.36210555972953,1.3678,1.3543,1.362109992486854,-4.432757324090986e-06,0.013499999999999845,1.361578888054096
2010.03.12,1.3662993980436395,1.3695,1.362,1.3663075244544762,-8.126410836695186e-06,0.00749999999999984,1.3660267306245288
2010.03.14,1.3744010172940022,1.3795,1.3685,1.3744097660223835,-8.748728381302584e-06,0.010999999999999899,1.3742026958290965
2010.03.15,1.375416332378223,1.3777,1.3725,1.3754163323782225,4.440892098500626e-16,0.005199999999999871,1.3752581661891115
2010.03.16,1.3696979182729367,1.376,1.3639,1.3696962220508846,1.6962220521499205e-06,0.0121,1.3698235350809553
2010.03.17,1.3730802996254716,1.3785,1.3655,1.37309018726592,-9.887640448402735e-06,0.013000000000000123,1.372542621722848
2010.03.18,1.37567806748466,1.3817,1.371,1.3756773006134964,7.668711636821257e-07,0.010699999999999932,1.376013842024539
2010.03.19,1.3644672413793129,1.3728,1.3585,1.3644634932533763,3.7481259365090835e-06,0.01429999999999998,1.3650576836581725
2010.03.21,1.3563960365853638,1.362600,1.3502,1.356390040650404,5.9959349598681655e-06,0.012399999999999967,1.356396519308942
2010.03.22,1.3518089887640465,1.353700,1.3505,1.351803370786519,5.6179775276277155e-06,0.0031999999999998696,1.3519530898876415
2010.03.23,1.353106042296067,1.3568,1.3462,1.3531174471299068,-1.1404833839767647e-05,0.010599999999999943,1.3523058723564934
2010.03.24,1.3506171082513279,1.3562,1.3445,1.3506107494322501,6.358819077734168e-06,0.011700000000000044,1.3504819644208945
2010.03.25,1.3359355408388527,1.3464,1.3304,1.3359291390728458,6.401766006858267e-06,0.016000000000000014,1.3371661699779247
2010.03.26,1.3320479302832273,1.3386,1.3266,1.3320514887436488,-3.5584604214378146e-06,0.01200000000000001,1.332324854756719
2010.03.28,1.3376760280842515,1.3424,1.3324,1.3376890672016033,-1.3039117351842933e-05,0.010000000000000009,1.3375412738214638
2010.03.29,1.344349076517149,1.3492,1.3418,1.3443430079155658,6.068601583253397e-06,0.007399999999999851,1.3449230211081789
2010.03.30,1.3466581413210468,1.3506,1.3422,1.3466651305683583,-6.98924731157291e-06,0.008399999999999963,1.3465308179723514
2010.03.31,1.344546425884123,1.3536,1.3391,1.3445443190368689,2.1068472542129513e-06,0.014499999999999957,1.345447686230248
2010.04.01,1.3487660647103072,1.356,1.3383,1.3487796839729118,-1.3619262604569471e-05,0.01770000000000005,1.3479614371708049
2010.04.02,1.3534344718030162,1.359,1.3459,1.353440587768069,-6.1159650528441745e-06,0.01309999999999989,1.3529437648927714
2010.04.04,1.3525319838056662,1.3581,1.3474,1.3525276653171374,4.318488528776143e-06,0.010700000000000154,1.352639912280701
2010.04.05,1.3509900641025634,1.3537,1.348,1.3510025641025645,-1.250000000108109e-05,0.005699999999999816,1.350923157051282
2010.04.06,1.347785232744783,1.3527,1.342,1.3477819422150892,3.290529693833477e-06,0.010699999999999932,1.347566793739968
2010.04.07,1.339462818590707,1.3437,1.3354,1.3394715892054008,-8.77061469384266e-06,0.008299999999999974,1.3395086019490268
2010.04.08,1.3355048399106524,1.3401,1.3312,1.3355050632911425,-2.2338049010528493e-07,0.00890000000000013,1.3355774758004486
2010.04.09,1.3335170881226137,1.3383,1.3281,1.3335226819923442,-5.593869730535772e-06,0.010199999999999987,1.3333599425287397
2010.04.11,1.3419013224821987,1.3498,1.3341,1.3419168870803695,-1.5564598170758615e-05,0.015700000000000047,1.341929552390642
2010.04.12,1.3638400491400493,1.3676,1.3607,1.3638420147420156,-1.965601966302799e-06,0.006899999999999906,1.3639955159705162
2010.04.13,1.3599982209043744,1.3691,1.3565,1.3599876204596004,1.0600444773967155e-05,0.012599999999999945,1.3613964603409938
2010.04.14,1.3598378277153569,1.3664,1.3544,1.3598426966292139,-4.868913856981294e-06,0.01200000000000001,1.3601201310861426
2010.04.15,1.3643546485260876,1.3678,1.3593,1.364359637188214,-4.98866212650384e-06,0.008499999999999952,1.3639535714285755
2010.04.16,1.3568876752767498,1.3649,1.352,1.3568785239852372,9.151291512576876e-06,0.012899999999999912,1.357666549815497
2010.04.18,1.3520126252505034,1.3562,1.3471,1.3520094188376781,3.206412825251803e-06,0.009100000000000108,1.3518305110220454
2010.04.19,1.3472005025125608,1.3497,1.3445,1.3472040201005018,-3.517587940926603e-06,0.005199999999999871,1.3471511306532657
2010.04.20,1.3462073475385812,1.35,1.3415,1.3462098457016924,-2.4981631112641622e-06,0.008500000000000174,1.3459792983100685
2010.04.21,1.3455034090909077,1.3521,1.3404,1.3454977272727267,5.681818181058063e-06,0.011700000000000044,1.3458752840909085
2010.04.22,1.3399615156017788,1.3446,1.3357,1.339963893016341,-2.3774145621047182e-06,0.008899999999999908,1.34005635215453
2010.04.23,1.331232065997133,1.342,1.3201,1.331217073170736,1.499282639705335e-05,0.02190000000000003,1.3311372847919674
2010.04.25,1.3311544624746408,1.3399,1.3218,1.3311695740365068,-1.511156186606577e-05,0.018100000000000005,1.3310060091277869
2010.04.26,1.3367639204545463,1.3396,1.3333,1.3367764204545443,-1.2499999997972466e-05,0.006299999999999972,1.3366100852272726
2010.04.27,1.3352393067846553,1.3415,1.329,1.3352456489675488,-6.3421828935261715e-06,0.012499999999999956,1.3352462389380508
2010.04.28,1.3264206498194961,1.3385,1.3143,1.3264130685920579,7.581227438269167e-06,0.0242,1.3264084296028886
2010.04.29,1.3192713138686167,1.3265,1.3113,1.319276788321171,-5.47445255416612e-06,0.015200000000000102,1.319087025547447
2010.04.30,1.3238124076809383,1.3278,1.3192,1.3238200886262845,-7.680945346200119e-06,0.008600000000000163,1.3236581240768057
2010.05.02,1.329558953722339,1.3341,1.3235,1.3295643863179119,-5.432595572951726e-06,0.010600000000000165,1.329180835010063
2010.05.03,1.3278343490304703,1.3359,1.3208,1.327791689750693,4.2659279777312875e-05,0.015100000000000113,1.328081509695291
2010.05.04,1.3211466920152124,1.3252,1.3153,1.3211494296577995,-2.7376425870695442e-06,0.00990000000000002,1.3206990304182529
2010.05.05,1.3055134629229663,1.3208,1.2936,1.3054964722822182,1.6990640748115737e-05,0.02719999999999989,1.306352483801296
2010.05.06,1.2883046176046196,1.2995,1.2788,1.288297041847044,7.575757575484232e-06,0.020700000000000163,1.288725414862916
2010.05.07,1.2707171089385478,1.284300,1.2518,1.2707143854748606,2.723463687237526e-06,0.03249999999999997,1.2693828736033521
2010.05.09,1.2714053868756139,1.2797,1.2608,1.2714094025465235,-4.015670909573998e-06,0.01890000000000014,1.2708286973555343
2010.05.10,1.289460476190476,1.2967,1.2806,1.2894623809523797,-1.9047619037593222e-06,0.016100000000000003,1.289055714285714
2010.05.11,1.2870374110953031,1.3092,1.2722,1.2870237553342796,1.3655761023523283e-05,0.03699999999999992,1.2888652916073955
2010.05.12,1.2688716491228078,1.2758,1.2615,1.2688692631578922,2.3859649156410256e-06,0.01429999999999998,1.268760228070175
2010.05.13,1.2650903156384496,1.2737,1.2604,1.2650941893830685,-3.873744618854147e-06,0.01330000000000009,1.2660711262553797
2010.05.14,1.2576678648454358,1.2683,1.2515,1.2576662832494627,1.5815959730769436e-06,0.016799999999999926,1.2587835370237246
2010.05.16,1.2459091806515308,1.2575,1.2353,1.24589615004936,1.303060217083818e-05,0.022199999999999998,1.2461513326752227
2010.05.17,1.2330759590792837,1.2371,1.2233,1.2330629156010233,1.3043478260366115e-05,0.013800000000000034,1.231634718670077
2010.05.18,1.2337421575585523,1.2413,1.2254,1.2337457061745907,-3.5486160383513266e-06,0.015900000000000025,1.2335469659332858
2010.05.19,1.2302948215535323,1.2443,1.2143,1.2302937018894342,1.119664098103712e-06,0.030000000000000027,1.2297971308607416
2010.05.20,1.2297585143658054,1.2432,1.2154,1.229770567624389,-1.2053258583666349e-05,0.027800000000000047,1.2295322704975487
2010.05.21,1.2431891759776563,1.2597,1.2296,1.2432047486033535,-1.5572625697179987e-05,0.030100000000000016,1.2439234811452524
2010.05.23,1.2555185294117643,1.2671,1.247,1.255513823529413,4.705882351352386e-06,0.020099999999999785,1.2562830882352944
2010.05.24,1.2517210389610374,1.2562,1.248,1.2517192207792203,1.8181818171036923e-06,0.008199999999999985,1.2519100649350645
2010.05.25,1.2391814762242757,1.2524,1.2282,1.2391652235628097,1.6252661465987472e-05,0.0242,1.2397366749467713
2010.05.26,1.2275932671863925,1.2387,1.2177,1.2275927002126152,5.669737772606709e-07,0.020999999999999908,1.227896491849752
2010.05.27,1.2241495792426376,1.2344,1.2153,1.2241470546984599,2.5245441777066446e-06,0.019099999999999895,1.2244991584852745
2010.05.28,1.2307433881343814,1.2393,1.2202,1.2307530378842015,-9.649749820095366e-06,0.019100000000000117,1.2302491065046457
2010.05.30,1.234279642502481,1.2452,1.2264,1.2342752730883777,4.369414103200242e-06,0.01880000000000015,1.2350387288977147
2010.05.31,1.2299548209366387,1.233,1.226,1.2299707988980728,-1.5977961434154864e-05,0.007000000000000117,1.2297314049586778
2010.06.01,1.2291969531250009,1.2333,1.2244,1.2291986718750016,-1.7187500007675993e-06,0.00890000000000013,1.2290239062500006
2010.06.02,1.22273057324841,1.2352,1.211,1.2227337579617867,-3.1847133767914926e-06,0.0242,1.2229160828025492
2010.06.03,1.223359914407989,1.2306,1.2174,1.2233641226818859,-4.208273896910697e-06,0.013199999999999878,1.2236810092724686
