Date,Opening,High,Low,Closing,Momentum,Range,ohlc
2010.11.15,3.9466038461538466,3.948,3.942,3.9467653846153845,-0.0001615384615378801,0.005999999999999783,3.9458423076923075
2010.11.16,3.93365795148247,3.96,3.9219,3.933635579514814,2.2371967655754332e-05,0.03810000000000002,3.937298382749321
2010.11.17,3.9445504516128986,3.9687,3.9236,3.9446005161290274,-5.006451612876717e-05,0.04510000000000014,3.9453627419354813
2010.11.18,3.95674537157758,3.969100,3.9468,3.9567610169491543,-1.564537157427992e-05,0.022299999999999986,3.9573515971316837
2010.11.19,3.9382036316472186,3.9542,3.9275,3.9381888456550014,1.478599221726995e-05,0.026699999999999946,3.939523119325555
2010.11.21,3.936011147011306,3.9428,3.927,3.936012277867522,-1.1308562162248847e-06,0.015800000000000036,3.9354558562197073
2010.11.22,3.9357138888888903,3.9386,3.9351,3.935727777777779,-1.3888888888757833e-05,0.0035000000000002807,3.936285416666667
2010.11.23,3.9383388116308597,3.9563,3.9176,3.9384174462705426,-7.863463968282858e-05,0.03869999999999996,3.9376640644753502
2010.11.24,3.9620754424778744,3.9883,3.9423,3.9621019911504503,-2.654867257589899e-05,0.04600000000000026,3.963694358407081
2010.11.25,3.965624902723732,3.9812,3.9537,3.9656093385213986,1.5564202333173682e-05,0.027499999999999858,3.9665335603112823
2010.11.26,3.9739583928571456,3.9813,3.9552,3.9739791071428554,-2.0714285709821922e-05,0.026100000000000012,3.971109375
2010.11.28,4.022520614035082,4.0482,3.977500,4.022595467836255,-7.485380117255858e-05,0.07069999999999954,4.017704020467834
2010.11.29,4.033406896551724,4.0382,4.0238,4.033548275862069,-0.00014137931034508,0.01440000000000019,4.032238793103448
2010.11.30,4.066547039473688,4.1089,4.0156,4.0665941885964925,-4.714912280423533e-05,0.09330000000000016,4.064410307017545
2010.12.01,4.046969130028059,4.0969,4.0201,4.046911599625825,5.7530402234107214e-05,0.07679999999999954,4.052720182413471
2010.12.02,4.011826539278135,4.0269,3.9932,4.011789278131637,3.726114649804657e-05,0.03370000000000051,4.010928954352443
2010.12.03,3.995313748763592,4.029,3.9818,3.9953276953511274,-1.3946587535507149e-05,0.04720000000000013,4.0003603610286795
2010.12.05,3.989588676996427,4.007,3.9761,3.98957890345649,9.773539936919207e-06,0.030899999999999483,3.990566895113229
2010.12.06,3.978762790697676,3.981300,3.9758,3.9787441860465154,1.8604651160547547e-05,0.00550000000000006,3.978651744186048
2010.12.07,4.006837926675091,4.0283,3.9753,4.006869026548664,-3.1099873572415504e-05,0.052999999999999936,4.004326738305939
2010.12.08,4.016096889400914,4.0277,4.0035,4.016137327188938,-4.0437788023872656e-05,0.024200000000000443,4.015858554147464
2010.12.09,4.0427556714472015,4.0651,4.026,4.042750325945243,5.345501958409216e-06,0.03910000000000036,4.044151499348111
2010.12.10,4.031870951792342,4.0389,4.0207,4.03184820766379,2.274412855207686e-05,0.018200000000000216,4.030829789864033
2010.12.12,4.0320352850539285,4.0448,4.017,4.03202727272728,8.0123266483767e-06,0.027800000000000047,4.031465639445302
2010.12.13,4.0307,4.0311,4.030300,4.0303,0.00039999999999995595,0.0007999999999999119,4.030600000000001
2010.12.14,4.010651685393255,4.038,3.9908,4.010610112359551,4.1573033704445095e-05,0.04720000000000013,4.012515449438202
2010.12.15,3.98851744505494,3.9985,3.9789,3.988508516483507,8.92857143286463e-06,0.019600000000000062,3.988606490384612
2010.12.16,3.9852993894993824,4.0008,3.9726,3.985301953601944,-2.5641025613865054e-06,0.028200000000000003,3.9860003357753317
2010.12.17,3.985281411126179,3.9963,3.9768,3.9852952510176283,-1.3839891449318742e-05,0.019500000000000295,3.985919165535952
2010.12.19,3.984651285930404,3.9973,3.973,3.9846220877458367,2.9198184567480467e-05,0.02430000000000021,3.9848933434190603
2010.12.20,3.9884999999999997,3.9915,3.9867,3.9885875,-8.750000000024016e-05,0.0047999999999999154,3.9888218749999997
2010.12.21,3.9972346358792166,4.0035,3.9792,3.9972166962699816,1.793960923501814e-05,0.024299999999999766,3.9942878330372995
2010.12.22,3.9957001477104894,4.0065,3.9817,3.995694682422449,5.4652880403516235e-06,0.024799999999999933,3.9948987075332347
2010.12.23,3.989235474860331,4.0052,3.9817,3.9892255586592134,9.916201117565748e-06,0.0235000000000003,3.9913402583798865
2010.12.24,3.9731392809587205,3.987800,3.9611,3.973117443408796,2.1837549924352828e-05,0.026699999999999946,3.9737891810918793
2010.12.26,3.965235531135532,3.9704,3.9591,3.9652608058608085,-2.5274725276691612e-05,0.01130000000000031,3.9649990842490848
2010.12.27,3.9671280303030354,3.9684,3.9665,3.967243181818187,-0.00011515151515162358,0.0019000000000000128,3.967317803030306
2010.12.28,3.973313172541747,3.9852,3.9609,3.9732975881261625,1.5584415584690703e-05,0.024299999999999766,3.9731776901669775
2010.12.29,3.9858544444444304,3.9944,3.9754,3.9858646031745817,-1.0158730151310635e-05,0.019000000000000128,3.985379761904753
2010.12.30,3.9731041518386756,3.993,3.9614,3.9730705812574185,3.357058125708079e-05,0.03160000000000007,3.9751436832740237
2010.12.31,3.9652886614173184,3.9733,3.9543,3.9652757480314924,1.2913385825985557e-05,0.019000000000000128,3.964541102362203
2011.01.02,3.961845617529883,3.9773,3.9464,3.961822509960159,2.3107569723901378e-05,0.030899999999999928,3.9618420318725107
2011.01.03,3.9598750000000016,3.9667,3.9551,3.9602000000000013,-0.00032499999999968665,0.011600000000000055,3.9604687500000004
2011.01.04,3.9533892628205147,3.9632,3.9461,3.9533596153846156,2.9647435899171626e-05,0.017100000000000115,3.9540122195512826
2011.01.05,3.92543889490791,3.9533,3.8853,3.9253975081256764,4.138678223375436e-05,0.06800000000000006,3.9223591007583964
2011.01.06,3.8881995006242174,3.9103,3.8668,3.888173283395749,2.6217228468183862e-05,0.04349999999999987,3.8883681960049916
2011.01.07,3.863824865591381,3.8814,3.8485,3.863815725806436,9.139784944878215e-06,0.03290000000000015,3.8643851478494544
2011.01.09,3.874666666666671,3.8912,3.8638,3.8746991341991417,-3.246753247054812e-05,0.02740000000000009,3.876091450216453
2011.01.10,3.885375,3.886,3.884100,3.885375,0.0,0.0019000000000000128,3.8852124999999997
2011.01.11,3.9011089790897944,3.9112,3.8826,3.9011377613776212,-2.8782287826878417e-05,0.02859999999999996,3.8990116851168537
2011.01.12,3.8726960946745623,3.9032,3.8507,3.8726375147929017,5.8579881660580924e-05,0.05250000000000021,3.874808402366866
2011.01.13,3.843362042875153,3.8608,3.827,3.84334590163934,1.614123581328286e-05,0.03379999999999983,3.843626986128623
2011.01.14,3.863972809278352,3.8781,3.838300,3.86404755154639,-7.474226803827477e-05,0.03980000000000006,3.8611050902061854
2011.01.16,3.8771373228346464,3.8869,3.8658,3.8771352755905513,2.047244095138012e-06,0.021099999999999675,3.876743149606299
